data point,x,y,voltage,current,move number,flag
323,9944.999999999995,10497.000000000002,5.00021,7.233e-09,43,0
324,9944.999999999995,10497.000000000002,4.99959,1.6113e-08,43,0
325,9944.999999999995,10497.000000000002,4.9996,-5.191e-09,43,0
326,9925.199999999995,10494.400000000001,4.99994,-1.9193e-08,44,0
327,9925.199999999995,10494.400000000001,5.00018,9.924e-09,44,0
328,9925.199999999995,10494.400000000001,4.99976,1.1658e-08,44,0
329,9925.199999999995,10494.400000000001,4.99959,-8.205e-09,44,0
330,9925.199999999995,10494.400000000001,5.00014,-1.8182e-08,44,0
331,9925.199999999995,10494.400000000001,5.00022,1.3919e-08,44,0
332,9925.199999999995,10494.400000000001,4.99986,8.118e-09,44,0
333,9905.599999999995,10491.000000000002,4.99961,-1.7135e-08,45,0
334,9905.599999999995,10491.000000000002,5.0002,-1.2068e-08,45,0
335,9905.599999999995,10491.000000000002,5.0,1.9062e-08,45,0
336,9905.599999999995,10491.000000000002,4.99983,6.542e-09,45,0
337,9905.599999999995,10491.000000000002,4.99963,-1.4279e-08,45,0
338,9905.599999999995,10491.000000000002,5.00019,-8.118e-09,45,0
339,9905.599999999995,10491.000000000002,5.00017,1.994e-08,45,0
340,9885.999999999995,10491.000000000002,4.99962,7.564e-09,45,0
341,9885.999999999995,10486.800000000001,4.99977,-1.8076e-08,46,0
342,9885.999999999995,10486.800000000001,5.00022,-5.43e-09,46,0
343,9885.999999999995,10486.800000000001,4.9998,2.2327e-08,46,0
344,9885.999999999995,10486.800000000001,4.99958,2.354e-09,46,0
345,9885.999999999995,10486.800000000001,4.99978,-1.6604e-08,46,0
346,9885.999999999995,10486.800000000001,5.00021,1.965e-09,46,0
347,9885.999999999995,10486.800000000001,4.99968,2.1935e-08,46,0
348,9885.999999999995,10486.800000000001,4.99967,-5.161e-09,46,0
349,9866.599999999995,10481.800000000001,4.99985,-2.1091e-08,47,0
350,9866.599999999995,10481.800000000001,5.00037,5.26e-09,47,0
351,9866.599999999995,10481.800000000001,4.99962,1.4892e-08,47,0
352,9866.599999999995,10481.800000000001,4.9998,-2.047e-09,47,0
353,9866.599999999995,10481.800000000001,4.99994,-2.0822e-08,47,0
354,9866.599999999995,10481.800000000001,5.00001,9.765e-09,47,0
355,9866.599999999995,10481.800000000001,4.99984,1.224e-08,47,0
356,9866.599999999995,10481.800000000001,4.9996,-7.763e-09,47,0
357,9847.399999999994,10476.2,5.0,-2.2738e-08,48,0
358,9847.399999999994,10476.2,4.99997,1.3363e-08,48,0
359,9847.399999999994,10476.2,4.99968,1.1715e-08,48,0
360,9847.399999999994,10476.2,4.99979,-1.7399e-08,48,0
361,9847.399999999994,10476.2,5.00018,-1.443e-08,48,0
362,9847.399999999994,10476.2,5.00008,2.0933e-08,48,0
363,9847.399999999994,10476.2,4.99972,1.0642e-08,48,0
364,9847.399999999994,10476.2,4.99973,-1.4598e-08,48,0
365,9847.399999999994,10476.2,5.00024,-8.415e-09,48,0
366,9828.399999999994,10469.6,5.00005,2.1753e-08,49,0
367,9828.399999999994,10469.6,4.9996,8.122e-09,49,0
368,9828.399999999994,10469.6,4.99967,-1.7722e-08,49,0
369,9828.399999999994,10469.6,5.00026,-2.521e-09,49,0
370,9828.399999999994,10469.6,4.99985,2.184e-08,49,0
371,9828.399999999994,10469.6,4.99956,1.316e-09,49,0
372,9828.399999999994,10469.6,4.99983,-1.9315e-08,49,0
373,9809.799999999994,10469.6,5.00016,1.53e-09,49,0
374,9809.799999999994,10462.4,4.99966,2.04e-08,50,0
375,9809.799999999994,10462.4,4.99972,-1.379e-09,50,0
376,9809.799999999994,10462.4,4.9997,-2.1152e-08,50,0
377,9809.799999999994,10462.4,5.00019,8.669e-09,50,0
378,9809.799999999994,10462.4,4.99954,1.5981e-08,50,0
379,9809.799999999994,10462.4,4.99958,-5.193e-09,50,0
380,9791.399999999994,10454.4,5.00003,-1.8108e-08,51,0
381,9791.399999999994,10454.4,5.00001,8.597e-09,51,0
382,9791.399999999994,10454.4,4.99973,1.3614e-08,51,0
383,9791.399999999994,10454.4,4.99964,-1.4115e-08,51,0
384,9791.399999999994,10454.4,5.0001,-1.6549e-08,51,0
385,9791.399999999994,10454.4,5.00015,1.585e-08,51,0
386,9791.399999999994,10454.4,4.99977,9.192e-09,51,0
387,9773.399999999994,10445.8,4.99975,-1.2032e-08,52,0
388,9773.399999999994,10445.8,5.00016,-1.3739e-08,52,0
389,9773.399999999994,10445.8,5.00021,1.7685e-08,52,0
390,9773.399999999994,10445.8,4.99969,7.69e-09,52,0
391,9773.399999999994,10445.8,4.99979,-1.3768e-08,52,0
392,9773.399999999994,10445.8,5.00019,-7.122e-09,52,0
393,9773.399999999994,10445.8,4.99998,2.1054e-08,52,0
394,9773.399999999994,10445.8,4.99971,6.697e-09,52,0
395,9755.799999999994,10436.4,4.99985,-1.7365e-08,53,0
396,9755.799999999994,10436.4,5.00015,-2.007e-09,53,0
397,9755.799999999994,10436.4,4.9997,2.137e-08,53,0
398,9755.799999999994,10436.4,4.99968,-1.805e-09,53,0
399,9755.799999999994,10436.4,4.99969,-2.0723e-08,53,0
400,9755.799999999994,10436.4,5.00016,5.039e-09,53,0
401,9755.799999999994,10436.4,4.99964,1.545e-08,53,0
402,9738.599999999993,10426.199999999999,4.9997,-4.111e-09,54,0
403,9738.599999999993,10426.199999999999,4.99964,-1.6458e-08,54,0
404,9738.599999999993,10426.199999999999,5.00016,6.45e-09,54,0
405,9738.599999999993,10426.199999999999,4.99962,1.7071e-08,54,0
406,9738.599999999993,10426.199999999999,4.99963,-1.0326e-08,54,0
407,9738.599999999993,10426.199999999999,4.99995,-2.0111e-08,54,0
408,9738.599999999993,10426.199999999999,5.00022,1.6846e-08,54,0
409,9721.599999999993,10415.4,4.99992,1.504e-08,55,0
410,9721.599999999993,10415.4,4.99969,-1.0734e-08,55,0
411,9721.599999999993,10415.4,5.00008,-1.5943e-08,55,0
412,9721.599999999993,10415.4,5.00007,1.6041e-08,55,0
413,9721.599999999993,10415.4,4.99973,1.0836e-08,55,0
414,9721.599999999993,10415.4,4.99981,-1.4591e-08,55,0
415,9705.199999999993,10404.0,5.00014,-8.475e-09,56,0
416,9705.199999999993,10404.0,5.00013,2.2446e-08,56,0
417,9705.199999999993,10404.0,4.9996,4.174e-09,56,0
418,9705.199999999993,10404.0,4.99972,-1.7385e-08,56,0
419,9705.199999999993,10404.0,-0.00032,2.99986e-07,56,0
420,9705.199999999993,10404.0,-0.00013,2.99988e-07,56,0
421,9705.199999999993,10404.0,-0.00026,2.99986e-07,56,0
422,9689.399999999994,10391.8,-0.00021,2.99985e-07,57,0
