Commanded Speed (steps/s) | Expected Duration (s) | Actual Duration (s) | Effective Speed (steps/s) | Overridden?
183 steps/s (36.6 µm/s) | Expected: 0.691 s | Actual: 0.273 s | Effective: 780.64 steps/s | Overridden: YES
184 steps/s (36.8 µm/s) | Expected: 0.688 s | Actual: 0.273 s | Effective: 781.58 steps/s | Overridden: YES
185 steps/s (37.0 µm/s) | Expected: 0.685 s | Actual: 0.272 s | Effective: 783.59 steps/s | Overridden: YES
186 steps/s (37.2 µm/s) | Expected: 0.682 s | Actual: 0.272 s | Effective: 784.17 steps/s | Overridden: YES
187 steps/s (37.4 µm/s) | Expected: 0.679 s | Actual: 0.256 s | Effective: 893.57 steps/s | Overridden: YES
188 steps/s (37.6 µm/s) | Expected: 0.676 s | Actual: 0.257 s | Effective: 893.01 steps/s | Overridden: YES
189 steps/s (37.8 µm/s) | Expected: 0.674 s | Actual: 0.256 s | Effective: 893.62 steps/s | Overridden: YES
190 steps/s (38.0 µm/s) | Expected: 0.671 s | Actual: 0.256 s | Effective: 893.42 steps/s | Overridden: YES
191 steps/s (38.2 µm/s) | Expected: 0.668 s | Actual: 0.257 s | Effective: 892.89 steps/s | Overridden: YES
192 steps/s (38.4 µm/s) | Expected: 0.665 s | Actual: 0.256 s | Effective: 896.62 steps/s | Overridden: YES
193 steps/s (38.6 µm/s) | Expected: 0.663 s | Actual: 0.240 s | Effective: 1044.89 steps/s | Overridden: YES
194 steps/s (38.8 µm/s) | Expected: 0.660 s | Actual: 0.240 s | Effective: 1046.25 steps/s | Overridden: YES
195 steps/s (39.0 µm/s) | Expected: 0.657 s | Actual: 0.240 s | Effective: 1044.41 steps/s | Overridden: YES
196 steps/s (39.2 µm/s) | Expected: 0.655 s | Actual: 0.240 s | Effective: 1042.43 steps/s | Overridden: YES
197 steps/s (39.4 µm/s) | Expected: 0.652 s | Actual: 0.241 s | Effective: 1040.37 steps/s | Overridden: YES
198 steps/s (39.6 µm/s) | Expected: 0.650 s | Actual: 0.240 s | Effective: 1046.56 steps/s | Overridden: YES
199 steps/s (39.8 µm/s) | Expected: 0.647 s | Actual: 0.224 s | Effective: 1255.93 steps/s | Overridden: YES
200 steps/s (40.0 µm/s) | Expected: 0.645 s | Actual: 0.224 s | Effective: 1252.36 steps/s | Overridden: YES
201 steps/s (40.2 µm/s) | Expected: 0.642 s | Actual: 0.225 s | Effective: 1248.65 steps/s | Overridden: YES
202 steps/s (40.4 µm/s) | Expected: 0.640 s | Actual: 0.224 s | Effective: 1251.97 steps/s | Overridden: YES
203 steps/s (40.6 µm/s) | Expected: 0.637 s | Actual: 0.224 s | Effective: 1255.90 steps/s | Overridden: YES
204 steps/s (40.8 µm/s) | Expected: 0.635 s | Actual: 0.225 s | Effective: 1250.27 steps/s | Overridden: YES
205 steps/s (41.0 µm/s) | Expected: 0.632 s | Actual: 0.209 s | Effective: 1564.12 steps/s | Overridden: YES
206 steps/s (41.2 µm/s) | Expected: 0.630 s | Actual: 0.209 s | Effective: 1561.95 steps/s | Overridden: YES
207 steps/s (41.4 µm/s) | Expected: 0.628 s | Actual: 0.208 s | Effective: 1571.90 steps/s | Overridden: YES
208 steps/s (41.6 µm/s) | Expected: 0.625 s | Actual: 0.208 s | Effective: 1569.39 steps/s | Overridden: YES
209 steps/s (41.8 µm/s) | Expected: 0.623 s | Actual: 0.209 s | Effective: 1563.59 steps/s | Overridden: YES
210 steps/s (42.0 µm/s) | Expected: 0.621 s | Actual: 0.209 s | Effective: 1561.85 steps/s | Overridden: YES
211 steps/s (42.2 µm/s) | Expected: 0.619 s | Actual: 0.208 s | Effective: 1573.58 steps/s | Overridden: YES
212 steps/s (42.4 µm/s) | Expected: 0.616 s | Actual: 0.193 s | Effective: 2084.47 steps/s | Overridden: YES
213 steps/s (42.6 µm/s) | Expected: 0.614 s | Actual: 0.192 s | Effective: 2097.47 steps/s | Overridden: YES
214 steps/s (42.8 µm/s) | Expected: 0.612 s | Actual: 0.192 s | Effective: 2099.91 steps/s | Overridden: YES
215 steps/s (43.0 µm/s) | Expected: 0.610 s | Actual: 0.192 s | Effective: 2099.71 steps/s | Overridden: YES
216 steps/s (43.2 µm/s) | Expected: 0.608 s | Actual: 0.193 s | Effective: 2079.92 steps/s | Overridden: YES
217 steps/s (43.4 µm/s) | Expected: 0.605 s | Actual: 0.192 s | Effective: 2087.29 steps/s | Overridden: YES
218 steps/s (43.6 µm/s) | Expected: 0.603 s | Actual: 0.192 s | Effective: 2101.25 steps/s | Overridden: YES
